"Participant","Condition","50-250ms_mean_over_channels","250-400ms_mean_over_channels","Time_Window","Channel","HEP_mean_value","Subject"
"WS005","low_trial_2",-0.7054516,-0.694493,"250-400ms","ch12",-0.6841072,"WS005"
"WS005","low_trial_2",-0.7054516,-0.694493,"250-400ms","ch13",-0.57661915,"WS005"
"WS005","med_trial_1",-0.13857695,-2.427214,"50-250ms","ch3",-1.2740752,"WS005"
"WS005","med_trial_1",-0.13857695,-2.427214,"50-250ms","ch4",0.9107759,"WS005"
"WS005","med_trial_1",-0.13857695,-2.427214,"50-250ms","ch12",-0.57814384,"WS005"
"WS005","med_trial_1",-0.13857695,-2.427214,"50-250ms","ch13",0.38713524,"WS005"
"WS005","med_trial_1",-0.13857695,-2.427214,"250-400ms","ch3",-1.2502813,"WS005"
"WS005","med_trial_1",-0.13857695,-2.427214,"250-400ms","ch4",-3.862409,"WS005"
"WS005","med_trial_1",-0.13857695,-2.427214,"250-400ms","ch12",-3.9473362,"WS005"
"WS005","med_trial_1",-0.13857695,-2.427214,"250-400ms","ch13",-0.6488295,"WS005"
"WS005","med_trial_2",0.12692162,-2.3165522,"50-250ms","ch3",-0.13198894,"WS005"
"WS005","med_trial_2",0.12692162,-2.3165522,"50-250ms","ch4",0.28539076,"WS005"
"WS005","med_trial_2",0.12692162,-2.3165522,"50-250ms","ch12",0.6807798,"WS005"
"WS005","med_trial_2",0.12692162,-2.3165522,"50-250ms","ch13",-0.32649514,"WS005"
"WS005","med_trial_2",0.12692162,-2.3165522,"250-400ms","ch3",-1.7793385,"WS005"
"WS005","med_trial_2",0.12692162,-2.3165522,"250-400ms","ch4",-2.9164498,"WS005"
"WS005","med_trial_2",0.12692162,-2.3165522,"250-400ms","ch12",-2.9717205,"WS005"
"WS005","med_trial_2",0.12692162,-2.3165522,"250-400ms","ch13",-1.5986999,"WS005"
"WS005","high_trial_1",0.21448123,-3.5583537,"50-250ms","ch3",0.7292802,"WS005"
"WS005","high_trial_1",0.21448123,-3.5583537,"50-250ms","ch4",-0.21296662,"WS005"
"WS005","high_trial_1",0.21448123,-3.5583537,"50-250ms","ch12",-0.28845817,"WS005"
"WS005","high_trial_1",0.21448123,-3.5583537,"50-250ms","ch13",0.63006955,"WS005"
"WS005","high_trial_1",0.21448123,-3.5583537,"250-400ms","ch3",-2.407007,"WS005"
"WS005","high_trial_1",0.21448123,-3.5583537,"250-400ms","ch4",-5.6531963,"WS005"
"WS005","high_trial_1",0.21448123,-3.5583537,"250-400ms","ch12",-3.5776284,"WS005"
"WS005","high_trial_1",0.21448123,-3.5583537,"250-400ms","ch13",-2.5955827,"WS005"
"WS005","high_trial_2",-1.0366883,-4.264389,"50-250ms","ch3",-0.1431095,"WS005"
"WS005","high_trial_2",-1.0366883,-4.264389,"50-250ms","ch4",-1.9873209,"WS005"
"WS005","high_trial_2",-1.0366883,-4.264389,"50-250ms","ch12",-1.9828367,"WS005"
"WS005","high_trial_2",-1.0366883,-4.264389,"50-250ms","ch13",-0.033486202,"WS005"
"WS005","high_trial_2",-1.0366883,-4.264389,"250-400ms","ch3",-2.6358194,"WS005"
"WS005","high_trial_2",-1.0366883,-4.264389,"250-400ms","ch4",-5.616301,"WS005"
"WS005","high_trial_2",-1.0366883,-4.264389,"250-400ms","ch12",-3.4704425,"WS005"
"WS005","high_trial_2",-1.0366883,-4.264389,"250-400ms","ch13",-5.334993,"WS005"
"WS006","low_trial_1",0.32540852,3.5575588,"50-250ms","ch3",0.25637662,"WS006"
"WS006","low_trial_1",0.32540852,3.5575588,"50-250ms","ch4",0.37399438,"WS006"
"WS006","low_trial_1",0.32540852,3.5575588,"50-250ms","ch12",0.56846964,"WS006"
"WS006","low_trial_1",0.32540852,3.5575588,"50-250ms","ch13",0.10279345,"WS006"
"WS006","low_trial_1",0.32540852,3.5575588,"250-400ms","ch3",3.135076,"WS006"
"WS006","low_trial_1",0.32540852,3.5575588,"250-400ms","ch4",4.6419864,"WS006"
"WS006","low_trial_1",0.32540852,3.5575588,"250-400ms","ch12",3.5162654,"WS006"
"WS006","low_trial_1",0.32540852,3.5575588,"250-400ms","ch13",2.936908,"WS006"
"WS006","low_trial_2",-0.92714083,0.307307,"50-250ms","ch3",-1.4836934,"WS006"
"WS006","low_trial_2",-0.92714083,0.307307,"50-250ms","ch4",-0.07182156,"WS006"
"WS006","low_trial_2",-0.92714083,0.307307,"50-250ms","ch12",-1.694857,"WS006"
"WS006","low_trial_2",-0.92714083,0.307307,"50-250ms","ch13",-0.4581915,"WS006"
"WS006","low_trial_2",-0.92714083,0.307307,"250-400ms","ch3",0.17531118,"WS006"
"WS006","low_trial_2",-0.92714083,0.307307,"250-400ms","ch4",0.59040195,"WS006"
"WS006","low_trial_2",-0.92714083,0.307307,"250-400ms","ch12",1.8998181,"WS006"
"WS006","low_trial_2",-0.92714083,0.307307,"250-400ms","ch13",-1.4363031,"WS006"
"WS006","med_trial_1",0.42630404,-0.73778635,"50-250ms","ch3",1.0687518,"WS006"
"WS006","med_trial_1",0.42630404,-0.73778635,"50-250ms","ch4",-0.4383744,"WS006"
"WS006","med_trial_1",0.42630404,-0.73778635,"50-250ms","ch12",1.700003,"WS006"
"WS006","med_trial_1",0.42630404,-0.73778635,"50-250ms","ch13",-0.62516433,"WS006"
"WS006","med_trial_1",0.42630404,-0.73778635,"250-400ms","ch3",0.043236643,"WS006"
"WS006","med_trial_1",0.42630404,-0.73778635,"250-400ms","ch4",-1.9212458,"WS006"
"WS006","med_trial_1",0.42630404,-0.73778635,"250-400ms","ch12",1.0074681,"WS006"
"WS006","med_trial_1",0.42630404,-0.73778635,"250-400ms","ch13",-2.0806043,"WS006"
"WS006","med_trial_2",0.52334017,-0.873422,"50-250ms","ch3",0.70291567,"WS006"
"WS006","med_trial_2",0.52334017,-0.873422,"50-250ms","ch4",0.26944017,"WS006"
"WS006","med_trial_2",0.52334017,-0.873422,"50-250ms","ch12",1.4670216,"WS006"
"WS006","med_trial_2",0.52334017,-0.873422,"50-250ms","ch13",-0.3460167,"WS006"
"WS006","med_trial_2",0.52334017,-0.873422,"250-400ms","ch3",-0.4355809,"WS006"
"WS006","med_trial_2",0.52334017,-0.873422,"250-400ms","ch4",-1.2793815,"WS006"
"WS006","med_trial_2",0.52334017,-0.873422,"250-400ms","ch12",-0.49648908,"WS006"
"WS006","med_trial_2",0.52334017,-0.873422,"250-400ms","ch13",-1.2822365,"WS006"
"WS006","high_trial_1",-0.1608161,-0.701521,"50-250ms","ch3",-0.09489166,"WS006"
"WS006","high_trial_1",-0.1608161,-0.701521,"50-250ms","ch4",-0.3906915,"WS006"
"WS006","high_trial_1",-0.1608161,-0.701521,"50-250ms","ch12",0.011165795,"WS006"
"WS006","high_trial_1",-0.1608161,-0.701521,"50-250ms","ch13",-0.16884708,"WS006"
"WS006","high_trial_1",-0.1608161,-0.701521,"250-400ms","ch3",-0.68405795,"WS006"
"WS006","high_trial_1",-0.1608161,-0.701521,"250-400ms","ch4",-0.76836836,"WS006"
"WS006","high_trial_1",-0.1608161,-0.701521,"250-400ms","ch12",0.60605246,"WS006"
"WS006","high_trial_1",-0.1608161,-0.701521,"250-400ms","ch13",-1.95971,"WS006"
"WS006","high_trial_2",0.7852441,-1.6763768,"50-250ms","ch3",0.8943166,"WS006"
"WS006","high_trial_2",0.7852441,-1.6763768,"50-250ms","ch4",0.6700036,"WS006"
"WS006","high_trial_2",0.7852441,-1.6763768,"50-250ms","ch12",0.7705504,"WS006"
